index	cluster	name	Day	.epred	class	color_epred
1122	I	yadI	1	1.6356504843471766	up	1.6356504843471766
1122	I	yadI	10	1.2523609245602831	zero	NA
1063	I	yahM	1	1.1598434491965406	up	1.1598434491965406
1063	I	yahM	10	0.8901519503130951	zero	NA
1181	I	yhbS	1	1.029883046801644	zero	NA
1181	I	yhbS	10	0.7840524055383902	zero	NA
1446	I	tesA	1	1.2311339029635013	zero	NA
1446	I	tesA	10	0.9504344988848289	zero	NA
723	I	dusA	1	1.2669758209981004	up	1.2669758209981004
723	I	dusA	10	0.9759904098393661	up	0.9759904098393661
688	I	caiF	1	0.7224593181316111	up	0.7224593181316111
688	I	caiF	10	0.5570191026981914	zero	NA
555	I	bioH	1	0.9671954507754589	zero	NA
555	I	bioH	10	0.7565257233609697	zero	NA
51	I	mgtA	1	1.537044878939749	up	1.537044878939749
51	I	mgtA	10	1.0866195990068859	zero	NA
344	I	aes	1	1.0384755975554711	up	1.0384755975554711
344	I	aes	10	0.7315497473309523	zero	NA
171	I	glgS	1	1.054101764498113	up	1.054101764498113
171	I	glgS	10	0.7412072132689073	zero	NA
221	I	yiiG	1	0.7185601285686913	up	0.7185601285686913
221	I	yiiG	10	0.5055813631624054	zero	NA
101	I	malQ	1	0.9082098164292228	zero	NA
101	I	malQ	10	0.6375507668691366	up	0.6375507668691366
1098	I	aceB	1	1.0029796112566154	zero	NA
1098	I	aceB	10	0.7142793188623454	zero	NA
1480	I	ddpA	1	1.1302459786090377	up	1.1302459786090377
1480	I	ddpA	10	0.7734474886635736	zero	NA
1115	I	ddlB	1	1.3953632885556948	up	1.3953632885556948
1115	I	ddlB	10	0.9685175079281544	zero	NA
425	I	ycbZ	1	0.8938927545877855	up	0.8938927545877855
425	I	ycbZ	10	0.6190266485447969	zero	NA
1335	I	rsxC	1	0.99449366375367	up	0.99449366375367
1335	I	rsxC	10	0.695674994270906	zero	NA
908	I	yijF	1	0.9939913856241999	up	0.9939913856241999
908	I	yijF	10	0.6928504257242745	zero	NA
1496	I	yebB	1	1.3771936324176517	up	1.3771936324176517
1496	I	yebB	10	1.0288028042831436	zero	NA
1080	I	cusR	1	1.059230082397603	zero	NA
1080	I	cusR	10	0.7903913888869751	up	0.7903913888869751
1302	I	motB	1	1.0416258354588195	up	1.0416258354588195
1302	I	motB	10	0.7756831156627414	zero	NA
576	I	emrA	1	1.0772474033758062	zero	NA
576	I	emrA	10	0.8087473444017502	zero	NA
1440	I	ydfV	1	1.6508546598163514	zero	NA
1440	I	ydfV	10	1.219086795710389	zero	NA
176	I	yhiD	1	0.535927974154682	up	0.535927974154682
176	I	yhiD	10	0.3970370545507864	zero	NA
732	I	sdiA	1	1.1272531283344176	up	1.1272531283344176
732	I	sdiA	10	0.8206300568242854	up	0.8206300568242854
977	I	ccmH	1	1.01971233520246	up	1.01971233520246
977	I	ccmH	10	0.7426549897427881	up	0.7426549897427881
1487	I	fimF	1	1.1768135406346611	up	1.1768135406346611
1487	I	fimF	10	0.8548185105571859	zero	NA
1217	I	ytfH	1	1.043928768379753	zero	NA
1217	I	ytfH	10	0.758039293978698	zero	NA
519	I	entS	1	0.9245633572953795	zero	NA
519	I	entS	10	0.6720374940024993	up	0.6720374940024993
1074	I	yphD	1	1.063992015730965	zero	NA
1074	I	yphD	10	3.251602235211617	zero	NA
978	I	rluA	1	0.6360865319841252	up	0.6360865319841252
978	I	rluA	10	1.9295605073841293	zero	NA
145	I	mcrB	1	0.5751646777679358	up	0.5751646777679358
145	I	mcrB	10	1.743513445104142	up	1.743513445104142
409	I	yicR	1	0.7204653097190784	zero	NA
409	I	yicR	10	2.1563465097300383	zero	NA
34	I	cytR	1	1.8730759263089805	up	1.8730759263089805
34	I	cytR	10	6.055688347388514	zero	NA
